companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Pure Bliss Day Spa","Pure Bliss Day Spa Chain","데이 스파 체인","https://pureblissspa.com","편안한 데이 스파","90-130명",2014,"미국","덴버","콜로라도","789 16th St, Denver","추천","contacted",84,"15개 지점 보유","info@pureblissspa.com","+1-303-555-7001","franchising@pureblissspa.com","+1-303-555-7002"
"Hydration Station Spa","Hydration Station Spa","수분 케어","https://hydrationstation.com","수분 집중 케어","30-42명",2018,"미국","휴스턴","텍사스","345 Westheimer Rd, Houston","웹사이트","qualified",87,"드라이 스킨 전문","contact@hydrationstation.com","+1-713-555-7101","reservations@hydrationstation.com","+1-713-555-7102"
"Glow Bar Studio","Glow Bar Studio Network","글로우 바","https://glowbarstudio.com","빠른 페이셜 체인","50-75명",2019,"미국","내슈빌","테네시","678 Broadway, Nashville","온라인광고","new",79,"30분 익스프레스","info@glowbarstudio.com","+1-615-555-7201","wholesale@glowbarstudio.com","+1-615-555-7202"
"Luxury Lash & Brow","Luxury Lash & Brow Spa","래쉬/브로우","https://luxurylashandbrow.com","속눈썹/눈썹 전문","35-48명",2017,"미국","샬럿","노스캐롤라이나","890 Tryon St, Charlotte","SNS","contacted",82,"래쉬 리프트 인기","contact@luxurylashandbrow.com","+1-704-555-7301","appointments@luxurylashandbrow.com","+1-704-555-7302"
"Detox Beauty Retreat","Detox Beauty Retreat","디톡스 스파","https://detoxbeautyretreat.com","디톡스 전문 리트릿","45-65명",2016,"미국","피닉스","애리조나","234 Camelback Rd, Phoenix","전시회","qualified",90,"클렌징 프로그램","retreat@detoxbeautyretreat.com","+1-602-555-7401","info@detoxbeautyretreat.com","+1-602-555-7402"
"Acne Treatment Clinic","Acne Treatment Clinic","여드름 클리닉","https://acnetreatmentclinic.com","문제성 피부 전문","55-80명",2015,"미국","포틀랜드","오레곤","567 Pearl District, Portland","추천","new",76,"10대/20대 주 고객","clinic@acnetreatmentclinic.com","+1-503-555-7501","treatment@acnetreatmentclinic.com","+1-503-555-7502"
"Sensitive Skin Spa","Sensitive Skin Spa Co","민감성 피부","https://sensitiveskinspa.com","민감 피부 전문 스파","28-38명",2018,"미국","솔트레이크시티","유타","789 State St, SLC","웹사이트","contacted",83,"저자극 제품만 사용","info@sensitiveskinspa.com","+1-801-555-7601","spa@sensitiveskinspa.com","+1-801-555-7602"
"Bridal Beauty Studio","Bridal Beauty Studio","웨딩 뷰티","https://bridalbeautystudio.com","신부 전문 스튜디오","22-32명",2019,"미국","샌안토니오","텍사스","345 River Walk, San Antonio","온라인광고","qualified",85,"웨딩 패키지 특화","studio@bridalbeautystudio.com","+1-210-555-7701","bookings@bridalbeautystudio.com","+1-210-555-7702"
"Teen Skin Care Clinic","Teen Skin Care Clinic","10대 피부관리","https://teenskincareclinic.com","청소년 피부 전문","32-45명",2017,"미국","콜럼버스","오하이오","678 High St, Columbus","SNS","new",77,"학부모 동반 방문","clinic@teenskincareclinic.com","+1-614-555-7801","info@teenskincareclinic.com","+1-614-555-7802"
"Men's Grooming Spa","Men's Grooming Spa Network","남성 그루밍","https://mensgroomingspa.com","남성 전용 스파","65-95명",2016,"미국","밀워키","위스콘신","890 Water St, Milwaukee","전시회","contacted",88,"남성 고객 증가 중","contact@mensgroomingspa.com","+1-414-555-7901","reservations@mensgroomingspa.com","+1-414-555-7902"
"Organic Spa Collective","Organic Spa Collective","오가닉 스파","https://organicspacollective.com","유기농 전문 스파","38-55명",2018,"미국","버지니아비치","버지니아","234 Atlantic Ave, VB","추천","qualified",89,"친환경 인증 제품","info@organicspacollective.com","+1-757-555-8001","wholesale@organicspacollective.com","+1-757-555-8002"
"Express Facial Bar","Express Facial Bar Chain","익스프레스 페이셜","https://expressfacialbar.com","빠른 페이셜 체인","75-110명",2017,"미국","오마하","네브래스카","567 Dodge St, Omaha","웹사이트","new",80,"20분 퀵 페이셜","contact@expressfacialbar.com","+1-402-555-8101","franchise@expressfacialbar.com","+1-402-555-8102"
"Luxury Lip Care Studio","Luxury Lip Care Studio","립 케어","https://luxurylipcare.com","입술 전문 케어","18-26명",2019,"미국","롤리","노스캐롤라이나","789 Fayetteville St, Raleigh","온라인광고","contacted",81,"립 트리트먼트 전문","studio@luxurylipcare.com","+1-919-555-8201","bookings@luxurylipcare.com","+1-919-555-8202"
