companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Matte Makeup Masters","Matte Makeup Masters Inc.","매트 메이크업","https://mattemakeupmasters.com","매트 립/파우더 전문","48-62명",2015,"미국","댄버","콜로라도","567 17th St, Denver","추천","contacted",84,"매트 텍스처 전문","info@mattemakeupmasters.com","+1-303-555-4001","sales@mattemakeupmasters.com","+1-303-555-4002"
"Dewy Glow Cosmetics","Dewy Glow Cosmetics","글로우 메이크업","https://dewyglowcosmetics.com","촉촉한 메이크업","30-42명",2018,"미국","시애틀","워싱턴","789 Pike Place, Seattle","웹사이트","qualified",87,"글로시 트렌드 선도","hello@dewyglowcosmetics.com","+1-206-555-4101","b2b@dewyglowcosmetics.com","+1-206-555-4102"
"Contour Sculpt Supply","Contour Sculpt Supply","쉐이딩/컨투어","https://contoursculpt.com","컨투어링 제품","35-48명",2017,"미국","내슈빌","테네시","345 Broadway, Nashville","온라인광고","new",72,"쉐이딩 팔레트 인기","contact@contoursculpt.com","+1-615-555-4201","wholesale@contoursculpt.com","+1-615-555-4202"
"Glitter Galaxy Makeup","Glitter Galaxy Makeup Co","글리터","https://glittergalaxy.com","글리터 메이크업 전문","22-30명",2019,"미국","라스베이거스","네바다","678 Las Vegas Blvd, Vegas","SNS","contacted",80,"페스티벌 메이크업","info@glittergalaxy.com","+1-702-555-4301","sales@glittergalaxy.com","+1-702-555-4302"
"Primer Perfect Supply","Primer Perfect Supply Inc.","프라이머","https://primerperfect.com","메이크업 베이스 전문","40-55명",2016,"미국","샬럿","노스캐롤라이나","890 Tryon St, Charlotte","전시회","qualified",88,"지속력 향상 제품","contact@primerperfect.com","+1-704-555-4401","orders@primerperfect.com","+1-704-555-4402"
"Setting Spray Solutions","Setting Spray Solutions","세팅 제품","https://settingspray.com","픽서/세팅 스프레이","28-38명",2018,"미국","피닉스","애리조나","234 Central Ave, Phoenix","추천","new",75,"메이크업 지속력","info@settingspray.com","+1-602-555-4501","wholesale@settingspray.com","+1-602-555-4502"
"Brow Beauty Bar Supply","Brow Beauty Bar Supply","눈썹 제품","https://browbeautybar.com","아이브로우 전문","32-45명",2017,"미국","포틀랜드","메인","567 Congress St, Portland","웹사이트","contacted",82,"눈썹 정리 제품","contact@browbeautybar.com","+1-207-555-4601","sales@browbeautybar.com","+1-207-555-4602"
"Lash Extension Supply","Lash Extension Supply Co","속눈썹","https://lashextension.com","속눈썹 연장 제품","45-60명",2015,"미국","올랜도","플로리다","789 International Dr, Orlando","온라인광고","qualified",90,"래쉬 익스텐션 키트","info@lashextension.com","+1-407-555-4701","b2b@lashextension.com","+1-407-555-4702"
"Eyeliner Artistry","Eyeliner Artistry Inc.","아이라이너","https://eyelinerartistry.com","아이라이너 전문","26-36명",2018,"미국","솔트레이크시티","유타","345 State St, SLC","SNS","new",77,"다양한 컬러 라인","hello@eyelinerartistry.com","+1-801-555-4801","wholesale@eyelinerartistry.com","+1-801-555-4802"
"Lip Plumper Supply","Lip Plumper Supply LLC","립 플럼퍼","https://lipplumper.com","볼륨 립 제품","20-28명",2019,"미국","샌안토니오","텍사스","678 River Walk, San Antonio","전시회","contacted",79,"립 볼륨업 트렌드","contact@lipplumper.com","+1-210-555-4901","sales@lipplumper.com","+1-210-555-4902"
"Multi Stick Beauty","Multi Stick Beauty Co","멀티 스틱","https://multistickbeauty.com","멀티유즈 스틱","35-48명",2017,"미국","콜럼버스","오하이오","890 High St, Columbus","추천","qualified",85,"립&치크 겸용 인기","info@multistickbeauty.com","+1-614-555-5001","wholesale@multistickbeauty.com","+1-614-555-5002"
"Powder Perfection","Powder Perfection Inc.","파우더","https://powderperfection.com","세팅/프레스트 파우더","42-58명",2016,"미국","밀워키","위스콘신","234 Water St, Milwaukee","웹사이트","new",73,"투명/유색 파우더","contact@powderperfection.com","+1-414-555-5101","orders@powderperfection.com","+1-414-555-5102"
"Eyeshadow Palette Pro","Eyeshadow Palette Professionals","아이섀도우 팔레트","https://eyeshadowpalette.com","아이섀도우 팔레트","50-70명",2015,"미국","캔자스시티","미주리","567 Main St, KC","온라인광고","contacted",86,"대용량 팔레트 전문","pro@eyeshadowpalette.com","+1-816-555-5201","sales@eyeshadowpalette.com","+1-816-555-5202"
"Natural Nude Makeup","Natural Nude Makeup Co","누드 메이크업","https://naturalnudemakeup.com","자연스러운 메이크업","38-52명",2017,"미국","버지니아비치","버지니아","789 Atlantic Ave, VB","SNS","qualified",88,"누드톤 베스트셀러","info@naturalnudemakeup.com","+1-757-555-5301","b2b@naturalnudemakeup.com","+1-757-555-5302"
"Bold Color Cosmetics","Bold Color Cosmetics Inc.","비비드 메이크업","https://boldcolorcosmetics.com","대담한 컬러 메이크업","30-44명",2018,"미국","오마하","네브래스카","345 Dodge St, Omaha","전시회","new",78,"비비드 컬러 전문","contact@boldcolorcosmetics.com","+1-402-555-5401","wholesale@boldcolorcosmetics.com","+1-402-555-5402"
