companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Myeongdong Market USA","Myeongdong Market USA Inc.","명동 마켓","https://myeongdongmarketusa.com","명동 쇼핑 경험","75-110명",2015,"미국","뉴욕","뉴욕주","456 32nd St, NYC","추천","contacted",90,"명동 인기 브랜드","info@myeongdongmarketusa.com","+1-212-555-2001","wholesale@myeongdongmarketusa.com","+1-212-555-2002"
"K-Beauty Trends","K-Beauty Trends Co","K뷰티 트렌드","https://kbeautytrends.com","최신 한국 트렌드","50-70명",2018,"미국","덴버","콜로라도","890 16th St, Denver","웹사이트","qualified",89,"트렌드 선도 제품","hello@kbeautytrends.com","+1-303-555-2101","buyers@kbeautytrends.com","+1-303-555-2102"
"Seoul Skin Secret","Seoul Skin Secret LLC","서울 스킨 시크릿","https://seoulskinsecret.com","한국 피부 비법","38-55명",2019,"미국","포틀랜드","오레곤","234 Pearl District, Portland","온라인광고","new",82,"한방 화장품 전문","contact@seoulskinsecret.com","+1-503-555-2201","import@seoulskinsecret.com","+1-503-555-2202"
"Hallyu Cosmetics Hub","Hallyu Cosmetics Hub Inc.","한류 화장품","https://hallyucosmeticshub.com","한류스타 제품","60-85명",2017,"미국","내슈빌","테네시","567 Broadway, Nashville","SNS","contacted",88,"셀럽 뷰티 제품","info@hallyucosmeticshub.com","+1-615-555-2301","wholesale@hallyucosmeticshub.com","+1-615-555-2302"
"K-Idol Beauty Store","K-Idol Beauty Store","아이돌 뷰티","https://kidolbeauty.com","K팝 아이돌 제품","45-68명",2018,"미국","샬럿","노스캐롤라이나","789 Tryon St, Charlotte","전시회","qualified",90,"아이돌 협업 제품","store@kidolbeauty.com","+1-704-555-2401","info@kidolbeauty.com","+1-704-555-2402"
"Jeju Island Beauty","Jeju Island Beauty Import","제주 뷰티","https://jejuislandbeauty.com","제주 원료 제품","35-52명",2019,"미국","피닉스","애리조나","345 Camelback Rd, Phoenix","추천","new",83,"제주 화산석/녹차","contact@jejuislandbeauty.com","+1-602-555-2501","import@jejuislandbeauty.com","+1-602-555-2502"
"Ginseng Beauty Co","Ginseng Beauty Company","인삼 화장품","https://ginsengbeauty.com","한국 인삼 제품","42-62명",2016,"미국","샌호세","캘리포니아","678 Santana Row, SJ","웹사이트","contacted",86,"한방 인삼 라인","info@ginsengbeauty.com","+1-408-555-2601","wholesale@ginsengbeauty.com","+1-408-555-2602"
"K-Pop Beauty Box","K-Pop Beauty Box Inc.","K팝 박스","https://kpopbeautybox.com","K팝 스타일 뷰티","48-70명",2018,"미국","애틀랜타","조지아","890 Peachtree St, Atlanta","온라인광고","qualified",91,"K팝 스타 메이크업","box@kpopbeautybox.com","+1-404-555-2701","subscriptions@kpopbeautybox.com","+1-404-555-2702"
"Hanbok Beauty Essence","Hanbok Beauty Essence","한복 뷰티","https://hanbokbeauty.com","한국 전통 뷰티","30-45명",2019,"미국","보스턴","매사추세츠","234 Newbury St, Boston","SNS","new",80,"한방 전통 제품","contact@hanbokbeauty.com","+1-617-555-2801","import@hanbokbeauty.com","+1-617-555-2802"
"Korea Mask Paradise","Korea Mask Paradise LLC","마스크팩 천국","https://koreamaskparadise.com","한국 마스크팩 전문","55-80명",2017,"미국","올랜도","플로리다","567 International Dr, Orlando","전시회","contacted",89,"200종 마스크팩","paradise@koreamaskparadise.com","+1-407-555-2901","wholesale@koreamaskparadise.com","+1-407-555-2902"
"Seoul Fashion Beauty","Seoul Fashion Beauty Co","서울 패션 뷰티","https://seoulfashionbeauty.com","서울 패션위크 제품","40-58명",2018,"미국","솔트레이크시티","유타","789 State St, SLC","추천","qualified",87","패션위크 협찬","info@seoulfashionbeauty.com","+1-801-555-3001","buyers@seoulfashionbeauty.com","+1-801-555-3002"
"K-Beauty Expert","K-Beauty Expert Inc.","K뷰티 전문가","https://kbeautyexpert.com","K뷰티 교육/유통","50-75명",2016,"미국","샌안토니오","텍사스","345 River Walk, San Antonio","웹사이트","new",84,"K뷰티 세미나 개최","expert@kbeautyexpert.com","+1-210-555-3101","training@kbeautyexpert.com","+1-210-555-3102"
"Han River Beauty","Han River Beauty Supply","한강 뷰티","https://hanriverbeauty.com","서울 감성 제품","38-56명",2019,"미국","콜럼버스","오하이오","678 High St, Columbus","온라인광고","contacted",85,"서울 야경 패키징","contact@hanriverbeauty.com","+1-614-555-3201","import@hanriverbeauty.com","+1-614-555-3202"
"K-Wellness Beauty","K-Wellness Beauty Network","K웰니스","https://kwellnessbeauty.com","한국 웰니스 뷰티","60-90명",2017,"미국","밀워키","위스콘신","890 Water St, Milwaukee","SNS","qualified",90,"이너뷰티 포함","info@kwellnessbeauty.com","+1-414-555-3301","wholesale@kwellnessbeauty.com","+1-414-555-3302"
"Kimchi Beauty Lab","Kimchi Beauty Lab Inc.","발효 뷰티","https://kimchibeautylab.com","한국 발효 화장품","32-48명",2018,"미국","버지니아비치","버지니아","234 Atlantic Ave, VB","전시회","new",81,"발효 원료 전문","lab@kimchibeautylab.com","+1-757-555-3401","research@kimchibeautylab.com","+1-757-555-3402"
