key,ko,en
leadPreview.column.sector,섹터,Sector
leadPreview.column.industry,산업,Industry
leadPreview.column.product,제품,Product
leadPreview.processing,처리 중...,Processing...
leadPreview.approve,승인,Approve
leadResult.complete,완료,Complete
leadResult.success,성공,Success
leadResult.skipped,건너뜀,Skipped
leadResult.failed,실패,Failed
leadResult.detailedResults,상세 결과,Detailed Results
leadResult.leadsCreated,생성된 리드:,Leads created:
leadResult.contactsCreated,생성된 연락처:,Contacts created:
leadResult.socialMedia,소셜 미디어:,Social media:
leadResult.products,제품:,Products:
leadResult.sectors,섹터:,Sectors:
leadResult.industries,산업:,Industries:
leadResult.duration,소요 시간:,Duration:
leadResult.duplicateEmails,워크스페이스 내 중복 이메일,Duplicate Emails in Workspace
leadResult.duplicateNote,리드는 생성되었지만 중복 이메일은 제외되었습니다,Leads were created but duplicate emails were excluded
leadResult.noName,이름 없음,No name
leadResult.existingLeadId,기존 리드 ID:,Existing lead ID:
leadResult.duplicateInFile,파일 내 중복,Duplicate in file
leadResult.andMore,외 {{count}}개 더...,and {{count}} more...
leadResult.skippedLeads,건너뛴 리드,Skipped Leads
leadResult.skippedNote,웹사이트 URL이 워크스페이스에 이미 존재하여 리드가 건너뛰어졌습니다,Entire lead was skipped because the Website URL already exists in the workspace
leadResult.failedLeads,실패한 리드,Failed Leads
leadResult.generateSequence,이 그룹에 대한 이메일 시퀀스 생성,Generate Email Sequence for This Group
leadProgress.complete,리드 가져오기 완료,Lead Import Complete
leadProgress.failed,리드 가져오기 실패,Lead Import Failed
leadProgress.preparing,리드 가져오기 준비 중,Preparing Lead Import
leadProgress.inProgress,리드 가져오기 진행 중,Lead Import in Progress
leadProgress.customerGroup,고객 그룹:,Customer Group:
leadProgress.duplicates,중복 (워크스페이스),Skipped Leads (Duplicates)
leadProgress.duplicateNote,웹사이트 URL이 워크스페이스에 이미 존재하여 리드가 건너뛰어졌습니다,Lead was entirely skipped because the Website URL already exists in workspace
nodeProgress.title,처리 단계,Processing Steps
nodeProgress.analyze.name,질문 분석,Analyze Question
nodeProgress.analyze.desc,질문 의도를 파악하고 필요한 데이터 확인 중,Analyzing question intent and identifying required data
nodeProgress.analyze.loading,요청을 분석하는 중...,Analyzing your request...
nodeProgress.generateSQL.name,쿼리 생성,Generate Query
nodeProgress.generateSQL.desc,데이터베이스 쿼리 작성 중,Creating database query
nodeProgress.generateSQL.loading,필요한 데이터를 찾는 중...,Finding the data you need...
nodeProgress.validateSQL.name,쿼리 검증,Validate Query
nodeProgress.validateSQL.desc,쿼리 안전성 및 유효성 검증 중,Validating query safety and correctness
nodeProgress.validateSQL.loading,요청을 검증하는 중...,Validating request...
nodeProgress.executeQuery.name,쿼리 실행,Execute Query
nodeProgress.executeQuery.desc,데이터베이스에서 데이터 조회 중,Fetching data from database
nodeProgress.executeQuery.loading,데이터를 불러오는 중...,Loading data...
nodeProgress.executeSequential.name,순차 쿼리 실행,Execute Sequential Queries
nodeProgress.executeSequential.desc,여러 쿼리를 순차적으로 실행 중,Executing multiple queries sequentially
nodeProgress.executeSequential.loading,여러 쿼리를 순차적으로 실행 중...,Executing queries sequentially...
nodeProgress.analyzeResults.name,결과 분석,Analyze Results
nodeProgress.analyzeResults.desc,조회된 데이터를 분석 중,Analyzing retrieved data
nodeProgress.analyzeResults.loading,결과를 정리하는 중...,Organizing results...
nodeProgress.generateInsights.name,인사이트 생성,Generate Insights
nodeProgress.generateInsights.desc,데이터에서 유의미한 패턴 발견 중,Finding meaningful patterns in data
nodeProgress.generateInsights.loading,주요 인사이트를 요약하는 중...,Summarizing key insights...
nodeProgress.suggestVisualizations.name,시각화 제안,Suggest Visualizations
nodeProgress.suggestVisualizations.desc,최적의 차트 및 그래프 추천 중,Recommending optimal charts and graphs
nodeProgress.suggestVisualizations.loading,시각화를 생성하는 중...,Creating visualizations...
nodeProgress.generateFollowUps.name,후속 질문 생성,Generate Follow-ups
nodeProgress.generateFollowUps.desc,관련 질문 제안 생성 중,Generating related question suggestions
nodeProgress.generateFollowUps.loading,후속 질문을 생성하는 중...,Generating follow-up questions...
nodeProgress.formatResponse.name,응답 준비,Format Response
nodeProgress.formatResponse.desc,최종 응답 포맷팅 중,Formatting final response
nodeProgress.formatResponse.loading,응답을 준비하는 중...,Preparing response...
nodeProgress.handleError.name,오류 처리,Handle Error
nodeProgress.handleError.desc,오류 메시지 생성 중,Generating error message
nodeProgress.handleError.loading,오류를 처리하는 중...,Handling error...
thinking.analyzingRequest,요청을 분석하는 중...,Analyzing your request...
thinking.findingData,필요한 데이터를 찾는 중...,Finding the data you need...
thinking.validatingRequest,요청을 검증하는 중...,Validating request...
thinking.loadingData,데이터를 불러오는 중...,Loading data...
thinking.organizingResults,결과를 정리하는 중...,Organizing results...
thinking.summarizingInsights,주요 인사이트를 요약하는 중...,Summarizing key insights...
thinking.creatingVisualizations,시각화를 생성하는 중...,Creating visualizations...
thinking.generatingFollowUps,후속 질문을 생성하는 중...,Generating follow-up questions...
thinking.analyzingResults,결과를 분석하는 중...,Analyzing results...
thinking.analysisComplete,분석 완료,Analysis complete
thinking.checkingQuerySafety,쿼리 안전성을 확인하는 중...,Checking if query is safe to execute...
thinking.checkingPermissions,데이터 접근 권한을 확인하는 중...,Checking data access permissions...
thinking.checkingComplexity,쿼리 복잡도를 확인하는 중...,Checking query complexity...
thinking.searchingData,데이터를 검색하는 중...,Searching for data...
thinking.analyzingLeadData,AI로 리드 데이터를 분석하는 중...,Analyzing lead data with AI...
sidebar.delete,삭제,Delete
sidebar.empty,채팅 기록이 없습니다,No chat history
sidebar.last30Days,지난 30일,Last 30 days
sidebar.last7Days,지난 7일,Last 7 days
sidebar.loading,불러오는 중...,Loading...
sidebar.newChat,새 채팅,New Chat
sidebar.older,더 오래된,Older
sidebar.rename,이름 변경,Rename
sidebar.today,오늘,Today
sidebar.yesterday,어제,Yesterday
