companyName,foundCompanyName,businessType,websiteUrl,description,employeeCount,foundedYear,country,city,state,address,leadSource,leadStatus,leadScore,notes,primaryEmail,primaryPhone,secondaryEmail,secondaryPhone
"Cica Repair Imports","Cica Repair Imports LLC","진정 케어","https://cicarepair.com","시카 성분 제품 수입","22-28명",2020,"미국","포틀랜드","메인","234 Congress St, Portland","추천","qualified",87,"K뷰티 시카 제품 인기","import@cicarepair.com","+1-207-555-1501","business@cicarepair.com","+1-207-555-1502"
"Hyaluronic Hydration","Hyaluronic Hydration Inc.","보습 전문","https://hyaluronichydration.com","히알루론산 제품 전문","35-50명",2016,"미국","솔트레이크시티","유타","678 State St, SLC","온라인광고","new",72,"보습 라인 확장 중","contact@hyaluronichydration.com","+1-801-555-1601","sales@hyaluronichydration.com","+1-801-555-1602"
"Niacinamide Beauty Lab","Niacinamide Beauty Lab","기능성 화장품","https://niacinamidebeauty.com","나이아신아마이드 전문","28-38명",2019,"미국","샬럿","노스캐롤라이나","345 Tryon St, Charlotte","SNS","contacted",83,"기능성 원료 연구 중","lab@niacinamidebeauty.com","+1-704-555-1701","info@niacinamidebeauty.com","+1-704-555-1702"
"Ceramide Skincare Pro","Ceramide Skincare Professionals","보습/장벽","https://ceramideskincare.com","세라마이드 제품 개발","40-55명",2015,"미국","인디애나폴리스","인디애나","789 Monument Circle, Indy","전시회","qualified",89,"피부장벽 전문가 협력","pro@ceramideskincare.com","+1-317-555-1801","partnerships@ceramideskincare.com","+1-317-555-1802"
"Snail Mucin Imports","Snail Mucin Imports","K뷰티 수입","https://snailmucin.com","달팽이 점액 제품 수입","15-22명",2020,"미국","샌안토니오","텍사스","123 River Walk, San Antonio","웹사이트","new",76,"K뷰티 트렌드 주시","import@snailmucin.com","+1-210-555-1901","sales@snailmucin.com","+1-210-555-1902"
"Propolis Beauty Supply","Propolis Beauty Supply","천연 화장품","https://propolisbeauty.com","프로폴리스 성분 제품","20-28명",2018,"미국","콜럼버스","오하이오","567 High St, Columbus","추천","contacted",80,"천연 성분 선호 고객층","contact@propolisbeauty.com","+1-614-555-2001","wholesale@propolisbeauty.com","+1-614-555-2002"
"Centella Beauty Co","Centella Beauty Company","진정 케어","https://centellabeauty.com","센텔라 전문 브랜드","25-32명",2019,"미국","밀워키","위스콘신","890 Water St, Milwaukee","온라인광고","qualified",85,"민감성 피부 타겟","info@centellabeauty.com","+1-414-555-2101","business@centellabeauty.com","+1-414-555-2102"
"AHA BHA Skincare","AHA BHA Skincare Solutions","각질 케어","https://ahabhaskincare.com","필링 제품 전문","30-42명",2017,"미국","캔자스시티","미주리","234 Main St, KC","SNS","new",69,"각질 케어 베스트셀러","sales@ahabhaskincare.com","+1-816-555-2201","support@ahabhaskincare.com","+1-816-555-2202"
"Galactomyces Glow","Galactomyces Glow Inc.","발효 화장품","https://galactomycesglow.com","발효 성분 제품","18-24명",2020,"미국","버지니아비치","버지니아","678 Atlantic Ave, VB","전시회","contacted",82,"발효 스킨케어 인기","contact@galactomycesglow.com","+1-757-555-2301","import@galactomycesglow.com","+1-757-555-2302"
"Green Tea Beauty Lab","Green Tea Beauty Lab","천연 화장품","https://greenteabeauty.com","녹차 성분 전문","35-48명",2016,"미국","오마하","네브래스카","345 Dodge St, Omaha","웹사이트","qualified",87,"항산화 제품 라인","lab@greenteabeauty.com","+1-402-555-2401","sales@greenteabeauty.com","+1-402-555-2402"
"Madecassoside Skincare","Madecassoside Skincare","진정/재생","https://madecassoside.com","마데카소사이드 제품","22-30명",2019,"미국","롤리","노스캐롤라이나","789 Fayetteville St, Raleigh","추천","new",75,"재생 크림 개발 중","info@madecassoside.com","+1-919-555-2501","business@madecassoside.com","+1-919-555-2502"
